,AUC,Method,dataset,vs
0,0.34143188,LOF,banana,X
1,0.44945746999999997,ABOD,banana,X
2,0.34183921,KNN,banana,X
3,0.52792266,IForest,banana,X
4,0.6599364200000001,OCSVM,banana,X
5,0.34759948,GMM,banana,X
6,0.17965300499999998,DeepSVDD,banana,X
7,0.5174442100000001,DIF,banana,X
8,0.47836522,LUNAR,banana,X
9,0.8801907250000002,GSAAL,banana,X
10,0.12673931666666668,LOF,banana,sinusoidal_wave
11,0.46572066666666667,ABOD,banana,sinusoidal_wave
12,0.13511348333333334,KNN,banana,sinusoidal_wave
13,0.5342436166666667,IForest,banana,sinusoidal_wave
14,0.14744398333333333,OCSVM,banana,sinusoidal_wave
15,0.12718271666666667,GMM,banana,sinusoidal_wave
16,0.07448560000000001,DeepSVDD,banana,sinusoidal_wave
17,0.5005825166666666,DIF,banana,sinusoidal_wave
18,0.5549108166666668,LUNAR,banana,sinusoidal_wave
19,0.6498857083333333,GSAAL,banana,sinusoidal_wave
20,0.53864525,LOF,star,X
21,0.51406295,ABOD,star,X
22,0.53633898,KNN,star,X
23,0.5128667499999999,IForest,star,X
24,0.51146067,OCSVM,star,X
25,0.5234118799999999,GMM,star,X
26,0.49423235499999996,DeepSVDD,star,X
27,0.50935743,DIF,star,X
28,0.512348485,LUNAR,star,X
29,0.588918195,GSAAL,star,X
30,0.11836526666666666,LOF,star,sinusoidal_wave
31,0.24786524999999998,ABOD,star,sinusoidal_wave
32,0.12891083333333334,KNN,star,sinusoidal_wave
33,0.4561316166666667,IForest,star,sinusoidal_wave
34,0.10107313333333334,OCSVM,star,sinusoidal_wave
35,0.13857201666666666,GMM,star,sinusoidal_wave
36,0.44031868333333335,DeepSVDD,star,sinusoidal_wave
37,0.46490655,DIF,star,sinusoidal_wave
38,0.474865175,LUNAR,star,sinusoidal_wave
39,0.6499572666666667,GSAAL,star,sinusoidal_wave
40,0.44045755,LOF,circle,X
41,0.5853549,ABOD,circle,X
42,0.4219765,KNN,circle,X
43,0.54047936,IForest,circle,X
44,0.7618333399999999,OCSVM,circle,X
45,0.55358761,GMM,circle,X
46,0.09259265,DeepSVDD,circle,X
47,0.52128619,DIF,circle,X
48,0.53845976,LUNAR,circle,X
49,0.7733610449999999,GSAAL,circle,X
50,0.11556830000000001,LOF,circle,sinusoidal_wave
