,AUC,Method,dataset,vs
0,0.11939113333333334,eLOF,banana,sinusoidal_wave
1,0.1425090333333333,eKNN,banana,sinusoidal_wave
2,0.15198178333333334,eOCSVM,banana,sinusoidal_wave
3,0.13761658333333335,eGMM,banana,sinusoidal_wave
4,0.33692804,eLOF,banana,X
5,0.34607894,eKNN,banana,X
6,0.6369013699999999,eOCSVM,banana,X
7,0.39665684999999995,eGMM,banana,X
8,0.42659015,eLOF,banana,noise
9,0.42410411000000003,eKNN,banana,noise
10,0.6150127599999999,eOCSVM,banana,noise
11,0.43085176999999997,eGMM,banana,noise
12,0.12569956666666668,eLOF,star,sinusoidal_wave
13,0.1338731,eKNN,star,sinusoidal_wave
14,0.09935428333333333,eOCSVM,star,sinusoidal_wave
15,0.13718439999999998,eGMM,star,sinusoidal_wave
16,0.54126566,eLOF,star,X
17,0.54235074,eKNN,star,X
18,0.58579598,eOCSVM,star,X
19,0.53021107,eGMM,star,X
20,0.4607269300000001,eLOF,star,noise
21,0.47073905000000005,eKNN,star,noise
22,0.45436029,eOCSVM,star,noise
23,0.47859759999999996,eGMM,star,noise
24,0.11946366666666668,eLOF,circle,sinusoidal_wave
25,0.13754978333333331,eKNN,circle,sinusoidal_wave
26,0.1367294666666667,eOCSVM,circle,sinusoidal_wave
27,0.17036351666666666,eGMM,circle,sinusoidal_wave
28,0.41801966999999995,eLOF,circle,X
29,0.42290693999999995,eKNN,circle,X
30,0.7591623,eOCSVM,circle,X
31,0.55367777,eGMM,circle,X
32,0.46945956,eLOF,circle,noise
33,0.45327737,eKNN,circle,noise
34,0.6373136,eOCSVM,circle,noise
35,0.5247745,eGMM,circle,noise
36,0.3418336,eLOF,L,sinusoidal_wave
37,0.35725048333333337,eKNN,L,sinusoidal_wave
38,0.31600816666666665,eOCSVM,L,sinusoidal_wave
39,0.4205633,eGMM,L,sinusoidal_wave
40,0.36588497,eLOF,L,X
41,0.46749646999999994,eKNN,L,X
42,0.37989648,eOCSVM,L,X
43,0.47342963000000005,eGMM,L,X
44,0.28052129,eLOF,L,noise
45,0.38300508,eKNN,L,noise
46,0.35788663,eOCSVM,L,noise
47,0.50908583,eGMM,L,noise
48,0.05603371666666667,eLOF,spiral,sinusoidal_wave
49,0.07094246666666666,eKNN,spiral,sinusoidal_wave
50,0.057954316666666665,eOCSVM,spiral,sinusoidal_wave
51,0.04378208333333333,eGMM,spiral,sinusoidal_wave
52,0.32883854,eLOF,spiral,X
53,0.35032089,eKNN,spiral,X
54,0.35606928000000004,eOCSVM,spiral,X
55,0.30485477,eGMM,spiral,X
56,0.19543722,eLOF,spiral,noise
57,0.21207553,eKNN,spiral,noise
58,0.22649937,eOCSVM,spiral,noise
59,0.12906108,eGMM,spiral,noise
